artist,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Alabama Shakes,6,11,13,21,25,27,30,37,38,43,47,56,62,65,66,75,82,105,114,227,262,304,333
Arctic Monkeys,0,4,8,19,46,67,105,154,154,154,154,154,154,154,158,159,164,165,168,204,209,215,238
Billie Eilish,0,0,0,0,0,0,0,0,0,0,1,1,1,20,39,65,74,97,100,100,100,103,103
Birdmask,37,52,80,92,98,115,115,144,149,159,161,171,175,195,196,196,198,198,198,207,233,234,239
Casker,12,14,14,22,29,41,41,46,47,56,56,57,66,75,76,81,83,86,92,92,92,98,99
Darren Korb,0,0,6,8,9,9,46,64,69,72,74,75,75,75,75,79,82,84,88,88,89,94,95
Esperanza Spalding,12,19,23,39,50,55,55,60,63,71,75,78,86,92,94,94,95,96,104,104,107,110,111
Foster the People,7,12,25,35,40,55,58,62,64,70,70,74,80,85,86,87,87,89,92,129,129,131,132
Heize,3,10,17,23,23,23,27,27,35,38,41,46,46,47,47,48,52,56,81,84,84,111,143
Hiatus Kaiyote,21,38,47,62,70,72,73,75,83,90,93,102,106,107,109,110,114,115,121,121,121,123,123
Honne,7,10,17,38,44,50,55,58,61,67,67,72,79,82,86,86,88,89,90,90,90,92,92
Hozier,7,12,28,41,43,49,52,57,58,59,63,63,63,63,64,64,64,64,64,64,64,66,66
Jon Fratelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,268
Kaina,9,11,16,19,23,27,27,30,31,35,35,35,47,50,53,55,62,64,67,78,83,85,87
Kero One,8,18,20,25,25,25,31,32,34,36,39,47,47,48,48,48,48,49,50,50,50,50,50
L'Orange,11,14,17,19,21,22,34,34,38,40,41,45,45,46,46,46,46,46,46,46,46,46,46
Mura Masa,9,21,31,38,45,45,47,49,50,56,71,73,74,77,78,84,84,85,88,91,92,95,95
Noname,9,21,24,30,35,39,43,44,50,55,60,71,73,74,101,102,102,102,104,115,115,115,119
Nujabes,9,24,37,47,53,54,55,58,65,72,75,83,87,90,91,91,92,93,95,95,95,96,96
Passion Pit,3,5,33,42,53,65,65,66,76,80,85,90,94,98,100,100,102,103,105,107,107,110,113
Still Woozy,8,13,25,33,39,51,51,55,58,64,66,72,80,84,87,88,92,92,97,99,99,100,100
Sunshine Brothers Inc.,3,6,7,11,15,26,27,30,32,40,41,42,51,52,53,54,57,58,61,110,120,131,138
The Fratellis,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,507,838,1520,2099
The Marías,11,19,24,38,53,57,58,67,70,83,98,101,114,122,124,127,129,174,177,180,185,188,191
